11;Community Garden Project;15.01.2023;20.01.2023;;50
2;Health Clinic Renovation;28.02.2023;03.03.2023;Renovate an existing health clinic to improve healthcare access.;50
3;Youth Empowerment Program;12.03.2023;15.03.2023;Empower youth through educational workshops and mentorship.;50
4;Environmental Cleanup Initiative;05.04.2023;08.04.2023;Organize a community-wide cleanup to improve the environment.;50
5;Art and Music Festival;18.05.2023;23.05.2023;Host an art and music festival to promote local talent.;50
6;Literacy Campaign;20.06.2023;04.07.2023;;50
11;Homeless Shelter Support;03.07.2023;08.07.2023;Provide support and resources for homeless individuals.;50
8;Elderly Care Program;09.08.2023;15.08.2023;Develop programs to support the elderly in our community.;50
9;School Infrastructure Development;14.09.2023;20.09.2023;;50
10;Emergency Relief Project;22.10.2023;28.10.2023;Provide immediate relief in emergency situations.;50
11;Animal Shelter Expansion;05.11.2023;09.11.2023;Expand an animal shelter to accommodate more animals.;50
2;Entrepreneurship Training Program;19.12.2023;23.12.2023;;50
13;Cultural Exchange Festival;02.01.2024;07.01.2024;Celebrate diversity through cultural exchange activities.;50
4;Sports Development Initiative;11.02.2024;16.02.2024;;50
5;Disaster Preparedness Training;28.03.2024;02.04.2024;Train community members for disaster preparedness.;50
16;Housing Assistance Program;14.04.2024;18.04.2024;Assist with housing needs for vulnerable populations.;50
7;Public Health Campaign;30.05.2024;03.06.2024;Promote health awareness through a public campaign.;50
18;Community Center Renovation;08.06.2024;12.06.2024;Renovate a community center for improved services.;50
9;Food Distribution Project;19.07.2024;23.07.2024;Distribute food to those in need in the community.;50
2;Job Skills Training Program;25.08.2024;29.08.2024;;50
2;Wildlife Conservation Project;30.09.2024;03.10.2024;;50
7;Clean Water Initiative;12.10.2024;15.11.2024;Ensure access to clean water for communities in need.;50
